langpair,pearson_raw_vs_ranked,spearman_raw_vs_ranked,kendall_raw_vs_ranked
cs-de_DE,0.9353682747938681,1.0,1.0
cs-en,0.9836025935797934,1.0,0.9999999999999999
cs-en_GB,0.9835862793398928,1.0,0.9999999999999999
cs-en_US,0.9836423627083763,1.0,0.9999999999999999
cs-uk_UA,0.9058109451182128,0.9999999999999999,1.0
en-amh,0.8437183004520369,1.0,1.0
en-ar,0.9691704903378877,0.9999999999999998,1.0
en-ar_EG,0.9314774388935627,0.9999999999999998,1.0
en-bho_IN,0.9627469831556595,1.0,1.0
en-cs,0.9614390705367704,1.0,1.0
en-cs_CZ,0.9346612520692847,1.0,1.0
en-el,0.9588229402490546,1.0,1.0
en-es,0.9647130698875875,1.0,1.0
en-et_EE,0.853733323836245,1.0,1.0
en-fr,0.9633703713961768,0.9999999999999998,0.9999999999999999
en-hau,0.8965153479854971,0.9999999999999999,0.9999999999999999
en-is,0.961991815393815,1.0,1.0
en-is_IS,0.8808385367358835,1.0,1.0
en-it,0.9657551137724865,1.0,1.0
en-it_IT,0.962603346394405,1.0,0.9999999999999999
en-ja,0.9174189752743408,0.9999999999999999,0.9999999999999998
en-ja_JP,0.8446355029647994,1.0,0.9999999999999999
en-kik,0.9772743408890439,1.0,1.0
en-kin,0.9597599184121772,1.0,1.0
en-ko_KR,0.8773521048510069,1.0,0.9999999999999999
en-luo,0.9482841952889156,0.9999999999999999,0.9999999999999999
en-mas_KE,0.885096655813712,1.0,0.9999999999999998
en-pt,0.9599157802935726,1.0,1.0
en-ru,0.9660712569071283,0.9999999999999998,1.0
en-ru_RU,0.915138902640026,1.0,1.0
en-sr,0.9636963536930983,1.0,1.0
en-sr_Cyrl_RS,0.9454333021092387,1.0,1.0
en-twi,0.8616359644432101,1.0,1.0
en-uk,0.9654315708978295,1.0,1.0
en-uk_UA,0.9007877792210304,1.0,1.0
en-yor,0.9911187702370973,1.0,0.9999999999999999
en-zh,0.9657985857693483,1.0,1.0
en-zh_CN,0.9211222235646989,1.0,1.0
fi-ar,0.9684340719645931,1.0,1.0
fi-cs,0.9614138323823955,0.9999999999999998,1.0
fi-el,0.9617916748197443,1.0,1.0
fi-es,0.962622928243244,1.0,0.9999999999999999
fi-fr,0.96268435634045,1.0,1.0
fi-is,0.9618457970028345,1.0,1.0
fi-it,0.965281484027879,1.0,1.0
fi-pt,0.9593742293188013,1.0,1.0
fi-ru,0.966919656518363,0.9999999999999998,0.9999999999999999
fi-sr,0.9629197857840249,1.0,1.0
fi-uk,0.9665015145961668,1.0,1.0
fr-ewe,0.8601220764759541,1.0,1.0
fr-wol,0.9254119024693516,1.0,0.9999999999999999
ja-zh,0.9432674643392459,1.0,0.9999999999999999
ja-zh_CN,0.7665662977477211,1.0,0.9999999999999999
pt-nya,0.9749260637060589,1.0,1.0
pt-vmw,0.9566177394823155,0.9999999999999998,1.0
tr-ar,0.9654908444020691,1.0,1.0
tr-cs,0.9597173015785396,1.0,1.0
tr-el,0.959025198896514,1.0,1.0
tr-es,0.9621634711129323,1.0,0.9999999999999999
tr-fr,0.9631331415380201,1.0,1.0
tr-is,0.9618620906515043,0.9999999999999998,1.0
tr-it,0.9634633877673024,1.0,1.0
tr-pt,0.9577929838775364,1.0,1.0
tr-ru,0.9649029203623556,1.0,1.0
tr-sr,0.9624546833921104,1.0,1.0
tr-uk,0.9664018029393051,1.0,1.0
