langpair,n,perlang_rankminmax_pearson_vs_raw,perlang_rankminmax_spearman_vs_raw,perlang_rankminmax_kendall_vs_raw,perlang_z_minmax_pearson_vs_raw,perlang_z_minmax_spearman_vs_raw,perlang_z_minmax_kendall_vs_raw,global_minmax_pearson_vs_raw,global_minmax_spearman_vs_raw,global_minmax_kendall_vs_raw,dev_isotonic_pearson_vs_raw,dev_isotonic_spearman_vs_raw,perlang_isotonic_pearson_vs_raw,perlang_isotonic_spearman_vs_raw
en-ar,17542,0.9691704903378877,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,1.0,,,,
en-cs,17542,0.9614390705367706,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,,,,
tr-is,17542,0.9618620906515043,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,,,,
tr-el,17542,0.9590251988965138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
en-es,17542,0.9647130698875874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
en-el,17542,0.9588229402490548,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,,,,
en-fr,17542,0.9633703713961768,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999,,,,
en-is,17542,0.961991815393815,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,,,,
en-uk,17542,0.9654315708978295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
en-it,17542,0.9657551137724865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
en-pt,17542,0.9599157802935726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
en-ru,17542,0.9660712569071284,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,,,,
en-sr,17542,0.9636963536930983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
tr-fr,17542,0.9631331415380201,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
tr-es,17542,0.9621634711129322,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,,,,
tr-uk,17542,0.9664018029393051,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
tr-ru,17542,0.9649029203623556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
tr-sr,17542,0.9624546833921103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
tr-cs,17542,0.9597173015785398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
fi-is,17542,0.9618457970028347,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
tr-ar,17542,0.9654908444020691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
tr-pt,17542,0.9577929838775366,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999997,1.0,1.0,,,,
tr-it,17542,0.9634633877673023,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,1.0,,,,
fi-uk,17542,0.9665015145961671,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
fi-sr,17542,0.9629197857840249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
fi-ru,17542,0.966919656518363,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999,,,,
fi-fr,17542,0.9626843563404502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
fi-cs,17542,0.9614138323823957,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,,,,
fi-it,17542,0.965281484027879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
fi-pt,17542,0.9593742293188016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
fi-ar,17542,0.9684340719645927,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,,,,
