langpair,n,var_raw,var_rank,delta_var,pearson_raw_vs_ranked
en-ar,17542,0.0012233048171471665,0.08334283487689814,0.08211953005975098,0.9691704903378877
en-cs,17542,0.001982167311893801,0.08334283487486015,0.08136066756296635,0.9614390705367704
tr-is,17542,0.0010072489806062725,0.08334283487652762,0.08233558589592134,0.9618620906515043
tr-el,17542,0.0011700049861280805,0.08334283487476751,0.08217282988863943,0.959025198896514
en-es,17542,0.0012747976535118822,0.08334283487699079,0.08206803722347891,0.9647130698875875
en-el,17542,0.0015383153181138753,0.08334283487662024,0.08180451955850636,0.9588229402490546
en-fr,17542,0.0017191333113674204,0.08334283487708341,0.081623701565716,0.9633703713961768
en-is,17542,0.0014776230358383826,0.08334283487597179,0.0818652118401334,0.961991815393815
en-uk,17542,0.0016491770049406238,0.08334283487624969,0.08169365787130907,0.9654315708978295
en-it,17542,0.0014705551267224577,0.08334283487411905,0.08187227974739658,0.9657551137724865
en-pt,17542,0.001251612705328017,0.08334283487541595,0.08209122217008794,0.9599157802935726
en-ru,17542,0.0013243499273514721,0.08334283487467488,0.0820184849473234,0.9660712569071283
en-sr,17542,0.001914865749850339,0.08334283487541595,0.08142796912556562,0.9636963536930983
tr-fr,17542,0.001378719230194842,0.08334283487597177,0.08196411564577694,0.9631331415380201
tr-es,17542,0.0010569705665581766,0.08334283487560123,0.08228586430904306,0.9621634711129323
tr-uk,17542,0.0012653047730533534,0.08334283487587914,0.08207753010282579,0.9664018029393051
tr-ru,17542,0.0010309958809005821,0.08334283487699079,0.08231183899609021,0.9649029203623556
tr-sr,17542,0.0015018929366323154,0.08334283487439695,0.08184094193776463,0.9624546833921104
tr-cs,17542,0.0015910469715025657,0.08334283487550861,0.08175178790400604,0.9597173015785396
fi-is,17542,0.0012402252962869953,0.08334283487680551,0.08210260958051852,0.9618457970028345
tr-ar,17542,0.0008621314360622886,0.08334283487680551,0.08248070344074322,0.9654908444020691
tr-pt,17542,0.0010568455397186578,0.08334283487680551,0.08228598933708685,0.9577929838775364
tr-it,17542,0.0011947974301419952,0.08334283487513805,0.08214803744499606,0.9634633877673024
fi-uk,17542,0.0013626536589044346,0.0833428348757865,0.08198018121688207,0.9665015145961668
fi-sr,17542,0.0016392855376487496,0.08334283487615705,0.0817035493385083,0.9629197857840249
fi-ru,17542,0.0012028279887246111,0.08334283487569387,0.08214000688696926,0.966919656518363
fi-fr,17542,0.001523825350442198,0.08334283487624969,0.08181900952580749,0.96268435634045
fi-cs,17542,0.0017758135919132294,0.08334283487467488,0.08156702128276165,0.9614138323823955
fi-it,17542,0.0013128939109201447,0.08334283487587914,0.082029940964959,0.965281484027879
fi-pt,17542,0.001120259698463572,0.08334283487411905,0.08222257517565547,0.9593742293188013
fi-ar,17542,0.000882572864337704,0.08334283487800978,0.08246026201367207,0.9684340719645931
fi-es,17542,0.0011299714138283802,0.08334283487411905,0.08221286346029066,0.962622928243244
fi-el,17542,0.0013259855547872765,0.0833428348755086,0.08201684932072133,0.9617916748197443
cs-de_DE,12339,0.005657360633171151,0.08334684154709321,0.07768948091392205,0.9353682747938681
cs-uk_UA,9720,0.0025598081879776484,0.08336763631056525,0.0808078281225876,0.9058109451182128
en-cs_CZ,9216,0.004789081521906857,0.08335141950035004,0.07856233797844318,0.9346612520692847
en-sr_Cyrl_RS,8964,0.023306082409631265,0.08335192810826687,0.06004584569863561,0.9454333021092387
en-bho_IN,8964,0.008201482719741514,0.08338913871983676,0.07518765600009525,0.9627469831556595
ja-zh_CN,8658,0.008713818185475685,0.08336221438585176,0.07464839620037607,0.7665662977477211
en-it_IT,8632,0.002540724731778574,0.08335264352574538,0.0808119187939668,0.962603346394405
en-ja_JP,8300,0.0014646188080273768,0.08335341569024908,0.0818887968822217,0.8446355029647994
en-zh_CN,8300,0.0023016959737771903,0.08335341565876125,0.08105171968498406,0.9211222235646989
en-ko_KR,8300,0.0022270431985998936,0.08336346046178213,0.08113641726318223,0.8773521048510069
en-is_IS,8300,0.017651787781744786,0.08335341599463154,0.06570162821288676,0.8808385367358835
en-ar_EG,7968,0.004336598655840089,0.08335425262004065,0.07901765396420056,0.9314774388935627
en-et_EE,7968,0.006018891982738225,0.08335425259532503,0.0773353606125868,0.853733323836245
en-mas_KE,7636,0.004996923553583825,0.08335516245189296,0.07835823889830915,0.885096655813712
en-ru_RU,7304,0.00300818776180235,0.08335615456967528,0.08034796680787293,0.915138902640026
en-uk_UA,6972,0.0027617769229224026,0.08335724142436685,0.08059546450144445,0.9007877792210304
en-ja,5984,0.0018368276554045027,0.08336118857722516,0.08152436092182065,0.9174189752743408
en-zh,5984,0.0013335393036681348,0.08337512344200715,0.08204158413833901,0.9657985857693483
ja-zh,1336,0.0014302129595165113,0.08345816215903841,0.0820279491995219,0.9432674643392459
pt-nya,1242,0.0202074976641729,0.083467633628794,0.0632601359646211,0.9749260637060589
en-kin,1210,0.007358774598696379,0.083471188309898,0.07611241371120162,0.9597599184121772
en-yor,1206,0.01883472881823511,0.08347164591977871,0.0646369171015436,0.9911187702370973
en-twi,1200,0.00739607802362228,0.08347233805949404,0.07607626003587176,0.8616359644432101
en-luo,1199,0.007656014301097791,0.08347245409015025,0.07581643978905246,0.9482841952889156
en-hau,1192,0.007275682045544932,0.08347327176042543,0.0761975897148805,0.8965153479854971
fr-wol,1175,0.010221071828547559,0.08347529812606475,0.07325422629751718,0.9254119024693516
en-kik,1172,0.018144209007593826,0.08347566182749787,0.06533145281990405,0.9772743408890439
en-amh,1166,0.006480368821409632,0.08347639484978543,0.0769960260283758,0.8437183004520369
fr-ewe,1077,0.006370358621021379,0.08348822800495664,0.07711786938393526,0.8601220764759541
pt-vmw,930,0.00511576060594934,0.08351273771080014,0.0783969771048508,0.9566177394823155
cs-en,80,0.0012125208494134655,0.08544303797468356,0.08423051712527009,0.9836025935797934
cs-en_US,80,0.001213262755144997,0.08544303797468356,0.08422977521953856,0.9836423627083763
cs-en_GB,80,0.0012130519721098125,0.08544303797468356,0.08422998600257374,0.9835862793398928
